station,pinyin,telecode
济宁,jining,JIK
集宁南,jiningnan,JAC
酒泉,jiuquan,JQJ
江山,jiangshan,JUH
吉首,jishou,JIQ
九台,jiutai,JTL
镜铁山,jingtieshan,JVJ
鸡西,jixi,JXB
蓟县,jixian,JKP
绩溪县,jixixian,JRH
嘉峪关,jiayuguan,JGJ
江油,jiangyou,JFW
锦州,jinzhou,JZD
金州,jinzhou,JZT
库尔勒,kuerle,KLR
开封,kaifeng,KFF
岢岚,kelan,KLV
凯里,kaili,KLW
喀什,kashi,KSR
昆山南,kunshannan,KNH
奎屯,kuitun,KTR
开原,kaiyuan,KYT
六安,luan,UAH
灵宝,lingbao,LBF
芦潮港,luchaogang,UCH
隆昌,longchang,LCW
陆川,luchuan,LKZ
利川,lichuan,LCN
临川,linchuan,LCG
潞城,lucheng,UTP
鹿道,ludao,LDL
娄底,loudi,LDQ
临汾,linfen,LFV
良各庄,lianggezhuang,LGP
临河,linhe,LHC
漯河,luohe,LON
绿化,lvhua,LWJ
隆化,longhua,UHP
丽江,lijiang,LHM
临江,linjiang,LQL
龙井,longjing,LJL
吕梁,lvliang,LHV
醴陵,liling,LLG
柳林南,liulinnan,LKV
滦平,luanping,UPP
六盘水,liupanshui,UMW
灵丘,lingqiu,LVV
旅顺,lvshun,LST
陇西,longxi,LXJ
澧县,lixian,LEQ
兰溪,lanxi,LWH
临西,linxi,UEP
龙岩,longyan,LYS
耒阳,leiyang,LYQ
洛阳,luoyang,LYF
洛阳东,luoyangdong,LDF
连云港东,lianyungangdong,UKH
临沂,linyi,LVK
洛阳龙门,luoyanglongmen,LLF
柳园,liuyuan,DHR
凌源,lingyuan,LYD
辽源,liaoyuan,LYL
立志,lizhi,LZX
柳州,liuzhou,LZZ
辽中,liaozhong,LZD
麻城,macheng,MCN
免渡河,mianduhe,MDX
牡丹江,mudanjiang,MDB
莫尔道嘎,moerdaoga,MRX
满归,mangui,MHX
明光,mingguang,MGH
漠河,mohe,MVX
茂名,maoming,MDQ
茂名西,maomingxi,MMZ
密山,mishan,MSB
马三家,masanjia,MJT
麻尾,mawei,VAW
绵阳,mianyang,MYW
梅州,meizhou,MOQ
满洲里,manzhouli,MLX
宁波东,ningbodong,NVH
宁波,ningbo,NGH
南岔,nancha,NCB
南充,nanchong,NCW
南丹,nandan,NDZ
南大庙,nandamiao,NMP
南芬,nanfen,NFT
讷河,nehe,NHX
嫩江,nenjiang,NGX
内江,neijiang,NJW
南平,nanping,NPS
南通,nantong,NUH
南阳,nanyang,NFF
碾子山,nianzishan,NZX
平顶山,pingdingshan,PEN
盘锦,panjin,PVD
平凉,pingliang,PIJ
平凉南,pingliangnan,POJ
平泉,pingquan,PQP
坪石,pingshi,PSQ
萍乡,pingxiang,PXG
凭祥,pingxiang,PXZ
郫县西,pixianxi,PCW
攀枝花,panzhihua,PRW
蕲春,qichun,QRN
青城山,qingchengshan,QSW
青岛,qingdao,QDK
清河城,qinghecheng,QYP
曲靖,qujing,QJM
黔江,qianjiang,QNW
前进镇,qianjinzhen,QEB
齐齐哈尔,qiqihaer,QHX
七台河,qitaihe,QTB
沁县,qinxian,QVV
泉州东,quanzhoudong,QRS
泉州,quanzhou,QYS
衢州,quzhou,QEH
融安,rongan,RAZ
汝箕沟,rujigou,RQJ
瑞金,ruijin,RJG
日照,rizhao,RZK
双城堡,shuangchengpu,SCB
绥芬河,suifenhe,SFB
韶关东,shaoguandong,SGQ
山海关,shanhaiguan,SHD
绥化,suihua,SHB
三间房,sanjianfang,SFX
苏家屯,sujiatun,SXT
舒兰,shulan,SLL
三明,sanming,SMS
神木,shenmu,OMY
三门峡,sanmenxia,SMF
商南,shangnan,ONY
遂宁,suining,NIW
四平,siping,SPT
商丘,shangqiu,SQF
上饶,shangrao,SRG
韶山,shaoshan,SSQ
宿松,susong,OAH
汕头,shantou,OTQ
邵武,shaowu,SWS
涉县,shexian,OEP
三亚,sanya,SEQ
三  亚,sanya,JUQ
邵阳,shaoyang,SYQ
十堰,shiyan,SNN
双鸭山,shuangyashan,SSB
松原,songyuan,VYT
深圳,shenzhen,SZQ
苏州,suzhou,SZH
随州,suizhou,SZN
宿州,suzhou,OXH
朔州,shuozhou,SUV
深圳西,shenzhenxi,OSQ
塘豹,tangbao,TBQ
塔尔气,taerqi,TVX
潼关,tongguan,TGY
塘沽,tanggu,TGP
塔河,tahe,TXX
通化,tonghua,THL
泰来,tailai,TLX
吐鲁番,tulufan,TFR
通辽,tongliao,TLD
铁岭,tieling,TLT
陶赖昭,taolaizhao,TPT
图们,tumen,TML
铜仁,tongren,RDQ
唐山北,tangshanbei,FUP
田师府,tianshifu,TFT
泰山,taishan,TAK
唐山,tangshan,TSP
天水,tianshui,TSJ
通远堡,tongyuanpu,TYT
太阳升,taiyangsheng,TQT
泰州,taizhou,UTH
桐梓,tongzi,TZW
通州西,tongzhouxi,TAP
五常,wuchang,WCB
武昌,wuchang,WCN
瓦房店,wafangdian,WDT
威海,weihai,WKK
芜湖,wuhu,WHH
乌海西,wuhaixi,WXC
吴家屯,wujiatun,WJT
武隆,wulong,WLW
乌兰浩特,wulanhaote,WWT
渭南,weinan,WNY
威舍,weishe,WSM
歪头山,waitoushan,WIT
武威,wuwei,WUJ
武威南,wuweinan,WWJ
无锡,wuxi,WXH
乌西,wuxi,WXR
乌伊岭,wuyiling,WPB
武夷山,wuyishan,WAS
万源,wanyuan,WYY
万州,wanzhou,WYW
梧州,wuzhou,WZZ
温州,wenzhou,RZH
温州南,wenzhounan,VRH
西昌,xichang,ECW
许昌,xuchang,XCF
西昌南,xichangnan,ENW
香坊,xiangfang,XFB
轩岗,xuangang,XGV
兴国,xingguo,EUG
宣汉,xuanhan,XHY
新会,xinhui,EFQ
新晃,xinhuang,XLQ
锡林浩特,xilinhaote,XTC
兴隆县,xinglongxian,EXP
厦门北,xiamenbei,XKS
厦门,xiamen,XMS
厦门高崎,xiamengaoqi,XBS
小市,xiaoshi,XST
秀山,xiushan,ETW
向塘,xiangtang,XTG
